detailed_pv_sub_reasons,Conclusion
DAMAGED_PRODUCT_RECEIVED,DAMAGED_PRODUCT_RECEIVED
Stains_dirt_product,Stains_dirt_product
MRP_TAG_DAMAGE,MRP_TAG_DAMAGE
STAINSSCRATCH_ON_PRODUCT,STAINSSCRATCH_ON_PRODUCT
MRP_TAG_MISSING,Tag Missing
PRODUCT_BROKENTORN,PRODUCT_BROKENTORN
BODY_DAMAGED,BODY_DAMAGED
MANUFACTURERS_SEAL_TORN,Seal Issue
MINOR_TEARDENTSCRATCHSTAINS_ON_PACKAGING,MINOR_TEARDENTSCRATCHSTAINS_ON_PACKAGING
MINOR_TEARDENTSCRATCHSTAINS_ON_PRODUCT,MINOR_TEARDENTSCRATCHSTAINS_ON_PRODUCT
PARTS_DAMAGED,PARTS_DAMAGED
MAJOR_PACKAGING_DAMAGE,MAJOR_PACKAGING_DAMAGE
MISSING_TAG,Tag Missing
PRODUCT_TORN,PRODUCT_TORN
Fabric_Wrinkled,Fabric_Wrinkled
Size_Missmatch_Box,Size_Missmatch_Box
COMBO_ISSUE,COMBO_ISSUE
MAJOR_STAINS_ON_PRODUCT,MAJOR_STAINS_ON_PRODUCT
PLASTIC_COVER_DAMAGED,PLASTIC_COVER_DAMAGED
Primary_Packaging_damaged,Primary_Packaging_damaged
CRACKS_ON_BODY,CRACKS_ON_BODY
MAJOR_TEARDENTSCRATCHSTAINS_ON_PACKAGING,MAJOR_TEARDENTSCRATCHSTAINS_ON_PACKAGING
COLOR_ISSUES,COLOR_ISSUES
IMAGE_MISSINGMISMATCH,IMAGE_MISSINGMISMATCH
MRP_NOT_VISIBLE,MRP_NOT_VISIBLE
MRP_Tag_Damage,MRP_TAG_DAMAGE
Mismatch_set_combomissin,Mismatch_set_combomissin
MANUFACTURERS_SEAL_MISSING,Seal Issue
MAJOR_BOX_DAMAGE,MAJOR_PACKAGING_DAMAGE
MRP_Tag_Mismatch,Tag Mismatch
MRP_TAG_MISMATCH,Tag Mismatch
STICHING_IS_DAMAGED,STICHING_IS_DAMAGED
MRP_Tag_damage,MRP_TAG_DAMAGE
MRP_Tag_Missing,Tag Missing
TORNHOLECUT_ON_FABRIC,TORNHOLECUT_ON_FABRIC
ORIGINAL_PACKAGING_DAMAGE,ORIGINAL_PACKAGING_DAMAGE
Primary_Packaging_misssing,Packaging Missing
MRP_TAG_DAMAGED,MRP_TAG_DAMAGE
STAINS_PRODUCT,STAINS_PRODUCT
Primary_Packaging_Missing,Packaging Missing
MRP_Tag_Issue,MRP_Tag_Issue
NO_PACKAGING,Packaging Missing
MAIN_PRODUCT_MISSING,MAIN_PRODUCT_MISSING
SCRATCH_ON_THE_PRODUCT,SCRATCH_ON_THE_PRODUCT
blade_damage_ceiling,blade_damage_ceiling
SCRATCHBROKEN_PRODUCT,SCRATCHBROKEN_PRODUCT
Primary_Packaging_missing,Packaging Missing
STAINS_ON_PRODUCT,STAINS_ON_PRODUCT
seal_broken_missing,Seal Issue
MINOR_STAINS_ON_PRODUCT,MINOR_STAINS_ON_PRODUCT
seal_broken,Seal Issue
mrp_tag_damaged,MRP_TAG_DAMAGE
product_damaged_torn_stitching_buttton_scratch_broken,product_damaged_torn_stitching_buttton_scratch_broken
Original_Box_Damaged,ORIGINAL_PACKAGING_DAMAGE
Primary_Packaging_Damaged,Primary_Packaging_damaged
primary_packaging_damaged,Primary_Packaging_damaged
MAJOR_TEARDENTSCRATCHSTAINS_ON_PRODUCT,MAJOR_TEARDENTSCRATCHSTAINS_ON_PRODUCT
NON_REPAIRABLE_MAJOR_ISSUE_ON_PACKAGING,NON_REPAIRABLE_MAJOR_ISSUE_ON_PACKAGING
Part_frame_stick_glassdamaged_,Part_frame_stick_glassdamaged_
SCREEN_DAMAGE,SCREEN_DAMAGE
product_completely_destroyed,product_completely_destroyed
major_scratch_dent,major_scratch_dent
item_broken_damaged,item_broken_damaged
SCRATCHSTAIN_ON_SCREEN_GUARD,SCRATCHSTAIN_ON_SCREEN_GUARD
BATTERY_SWOLLEN,BATTERY_SWOLLEN
Mismatch_set_combomissing,Mismatch_set_combomissing
KETTLE_BROKEN,KETTLE_BROKEN
MRP_Tag_missing,Tag Missing
WatchCrown_glass_strap_damaged_scratched_missing,WatchCrown_glass_strap_damaged_scratched_missing
SHRINK_WRAP_TORN,SHRINK_WRAP_TORN
WEAR_TEAR_ISSUES,WEAR_TEAR_ISSUES
PRIMARY_PACKAGING_DAMAGED,Primary_Packaging_damaged
DRIED_UP,DRIED_UP
SCRATCH_DENT_PRODUCT,SCRATCH_DENT_PRODUCT
LEAKING,LEAKING
ITEM_BROKEN_DAMAGED,item_broken_damaged
PRODUCT_COMPLETELY_DESTROYED,product_completely_destroyed
major_box_damage,MAJOR_PACKAGING_DAMAGE
pump_broken,pump_broken
major_dent_scratch_stain,major_dent_scratch_stain
product_in_combo_missing,product_in_combo_missing
minor_dent_scratch_stain,minor_dent_scratch_stain
Chain_Handle_Strap_Wheel_Damaged_Missing,Chain_Handle_Strap_Wheel_Damaged_Missing
ball_unctured_torn,ball_unctured_torn
STRAP_DAMAGED,STRAP_DAMAGED
PRIMARY_PACKAGING_MISSING,Packaging Missing
seal_issue,seal_issue
PERFORMANCE_ISSUES,PERFORMANCE_ISSUES
PART_DAMAGED,PARTS_DAMAGED
MINOR_PACKAGING_DAMAGE,MINOR_PACKAGING_DAMAGE
GLASS_DAMAGED,GLASS_DAMAGED
major_dent,major_dent
minor_scratch_dent,minor_scratch_dent
DAMAGED_STEEL_PLATE,DAMAGED_STEEL_PLATE
irremovable_water_heating_marks,irremovable_water_heating_marks
BOX_PRODUCTSIZE_NOT_MATCHING,BOX_PRODUCTSIZE_NOT_MATCHING
product_damage_torn_stitching_button_scratch_broken,product_damage_torn_stitching_button_scratch_broken
NOT_FOR_SALE_MENTIONED,NOT_FOR_SALE_MENTIONED
Tag_System_Same,Tag_System_Same
WATCH_CASE_BROKEN,WATCH_CASE_BROKEN
product_tag_same,product_tag_same
MRP_MISMATCH,Tag Mismatch
needle_damage,STRAP_DAMAGED
SIZE_ISSUE,SIZE_ISSUE
PREXO_PRODUCT_DAMAGED,PREXO_PRODUCT_DAMAGED
INK_DRIED_UP,INK_DRIED_UP
MINOR_AND_REPAIRABLE_BOX_DAMAGE,MINOR_AND_REPAIRABLE_BOX_DAMAGE
MAJOR_PERFORATED_HOLE,MAJOR_PERFORATED_HOLE
seal_torn,Seal Issue
CAMERA_DAMAGED,CAMERA_DAMAGED
DENTS_ON_CABINET_BODY,DENTS_ON_CABINET_BODY
OD434148694876176100 434182009459455100000,OD434148694876176100 434182009459455100000
blade_damage_missing,blade_damage_missing
COVER_TORN,COVER_TORN
COLOR_DIFFERENT_FROM_THE_IMAGE,COLOR_DIFFERENT_FROM_THE_IMAGE
usb_dongle_missing,usb_dongle_missing
BUTTONS_DAMAGED,BUTTONS_DAMAGED
SPECIFICATION_MISMATCHMISSING,SPECIFICATION_MISMATCHMISSING
SPECIFICATION_ISSUES,SPECIFICATION_ISSUES
STRAP_MISSING,STRAP_MISSING
BRAND_TAG_MISSING,Tag Missing
product_System_same,product_System_same
KEYBOARD_BODY_DAMAGED,KEYBOARD_BODY_DAMAGED
screen_damaged_cracked,screen_damaged_cracked
dent_scratch,dent_scratch
WIRE_DAMAGED,STRAP_DAMAGED
PORT_DAMAGED,STRAP_DAMAGED
box_damaged,box_damaged
hole_cut_on_container_packet,hole_cut_on_container_packet
PRODUCT_USED,PRODUCT_USED
PLASTIC_BODY_BROKEN,PLASTIC_BODY_BROKEN
NIB_NOT_SMOOTH,NIB_NOT_SMOOTH
PROCESSOR_BROKEN,PROCESSOR_BROKEN
OUTER_BODY_DAMAGED,OUTER_BODY_DAMAGED
LATCH_MISSING,STRAP_MISSING
EKL_TAPE_ISSUE,EKL_TAPE_ISSUE
tag_issues,tag_issues
scratches_on_body,scratches_on_body
BODY_BROKEN,BODY_BROKEN
item_not_working,item_not_working
CATRDIGE_PIN_BROKEN,CATRDIGE_PIN_BROKEN
minor_dent,minor_dent
NOT_PLAYING,NOT_PLAYING
KEYS_BROKEN,KEYS_BROKEN
stains_or_dirt_on_product,stains_or_dirt_on_product
adapter_missing,STRAP_MISSING
parts_missing_damaged,parts_missing_damaged
rust,rust
minor_crack,minor_crack
completely_damaged,completely_damaged
not_switching_on,not_switching_on
SYNTHETIC_COVER_TORNMISSING,SYNTHETIC_COVER_TORNMISSING
POLYTHENE_COVER_MISSINGTORN,POLYTHENE_COVER_MISSINGTORN
handle_damage,STRAP_DAMAGED
BUTTON_DAMAGED,STRAP_DAMAGED
part_damaged,PARTS_DAMAGED
PORTS_DAMAGED,PORTS_DAMAGED
main_product_missing,MAIN_PRODUCT_MISSING
PRODUCT_TAG_MISMATCH,Tag Mismatch
MISMATCH_SETCOMBO,MISMATCH_SETCOMBO
product_missing,product_missing
major_body_damage,major_body_damage
BRAND_LOGO_DAMAGED,BRAND_LOGO_DAMAGED
PAPER_TRAY_DAMAGE,PAPER_TRAY_DAMAGE
doa_available,doa_available
PERFORMANCE_ISSUE,PERFORMANCE_ISSUES
rod_missing,STRAP_MISSING
NOT_WORKING,NOT_WORKING
product_different_tag_system_same,product_different_tag_system_same
fabric_wrinkled,Fabric_Wrinkled
DISPLAY_DAMAGED,SCREEN_DAMAGE
